Date	Price	Open	High	Low	Vol.	Change %
Mar 09, 2023	285.50	287.00	287.50	284.00	1.86M	-0.70%
Mar 08, 2023	287.50	289.00	289.00	286.00	1.46M	-0.69%
Mar 07, 2023	289.50	287.00	290.00	286.50	1.39M	+1.05%
Mar 06, 2023	286.50	286.50	288.00	285.00	1.44M	+0.88%
Mar 03, 2023	284.00	282.50	284.50	282.00	1.19M	+1.07%
Mar 02, 2023	281.00	277.50	282.00	276.50	1.59M	+1.81%
Mar 01, 2023	276.00	277.00	279.00	275.00	2.02M	-0.72%
Feb 24, 2023	278.00	282.00	282.00	278.00	2.54M	-0.89%
Feb 23, 2023	280.50	281.00	282.00	279.50	1.56M	+0.36%
Feb 22, 2023	279.50	278.50	281.00	277.50	1.35M	0.00%
Feb 21, 2023	279.50	278.50	279.50	277.00	730.86K	+0.54%
Feb 20, 2023	278.00	279.50	279.50	278.00	651.87K	-0.54%
Feb 17, 2023	279.50	279.50	280.00	277.50	926.30K	+0.54%
Feb 16, 2023	278.00	277.50	280.00	277.50	1.87M	+0.72%
Feb 15, 2023	276.00	277.50	277.50	275.50	1.23M	-0.18%
Feb 14, 2023	276.50	276.50	278.00	276.00	1.16M	+0.73%
Feb 13, 2023	274.50	270.50	275.00	270.00	1.59M	+1.67%
Feb 10, 2023	270.00	273.50	274.00	270.00	2.89M	-2.17%
Feb 09, 2023	276.00	276.50	277.50	276.00	1.26M	-0.54%
Feb 08, 2023	277.50	278.00	279.50	276.50	1.83M	-0.18%
Feb 07, 2023	278.00	276.00	279.00	275.00	1.76M	+0.72%
Feb 06, 2023	276.00	274.50	279.00	274.00	1.87M	-0.72%
Feb 03, 2023	278.00	278.00	279.00	275.50	1.34M	-0.18%
Feb 02, 2023	278.50	277.00	279.00	275.00	1.57M	+1.27%
Feb 01, 2023	275.00	274.50	276.00	272.50	1.16M	+1.10%
Jan 31, 2023	272.00	280.00	280.50	271.50	3.07M	-2.86%
Jan 30, 2023	280.00	275.00	280.00	273.50	4.61M	+4.48%
Jan 17, 2023	268.00	270.00	270.50	268.00	1.35M	-0.37%
Jan 16, 2023	269.00	269.00	271.00	268.00	1.03M	+0.37%
Jan 13, 2023	268.00	267.50	268.50	265.50	1.10M	+1.13%
Jan 12, 2023	265.00	270.00	270.50	263.50	1.74M	-1.49%
Jan 11, 2023	269.00	270.50	271.50	269.00	1.53M	-0.19%
Jan 10, 2023	269.50	274.00	274.00	269.50	2.05M	-2.00%
Jan 09, 2023	275.00	273.50	275.50	272.50	1.49M	+1.29%
Jan 06, 2023	271.50	272.00	273.00	270.00	636.36K	+0.18%
Jan 05, 2023	271.00	271.00	275.00	271.00	1.17M	+0.93%
Jan 04, 2023	268.50	271.50	271.50	268.50	758.19K	-0.56%
Jan 03, 2023	270.00	267.00	271.00	266.00	1.06M	+0.56%
Dec 30, 2022	268.50	270.00	270.00	268.50	779.57K	-0.19%
Dec 29, 2022	269.00	267.50	270.50	264.50	1.45M	0.00%
Dec 28, 2022	269.00	268.00	270.00	268.00	1.09M	-0.37%
Dec 27, 2022	270.00	272.50	273.50	270.00	783.55K	-0.74%
Dec 26, 2022	272.00	272.00	273.00	271.00	769.80K	+0.37%
Dec 23, 2022	271.00	272.00	273.00	270.00	1.39M	-1.63%
Dec 22, 2022	275.50	270.50	278.00	269.00	6.30M	+3.57%
Dec 21, 2022	266.00	269.00	269.00	263.50	6.68M	-1.12%
Dec 20, 2022	269.00	267.00	271.00	266.00	8.70M	+1.89%
Dec 19, 2022	264.00	263.00	267.00	261.50	6.59M	-0.56%
Dec 16, 2022	265.50	264.00	267.00	262.00	7.73M	-0.56%
Dec 15, 2022	267.00	272.00	272.50	266.50	2.09M	-2.20%
Dec 14, 2022	273.00	270.50	273.50	269.50	2.15M	+2.06%
Dec 13, 2022	267.50	271.00	271.50	266.50	2.38M	-2.01%
Dec 12, 2022	273.00	266.00	273.00	262.00	2.78M	+1.68%
Dec 09, 2022	268.50	269.50	270.00	266.00	2.12M	+0.19%
Dec 08, 2022	268.00	272.00	274.00	266.00	2.30M	-1.47%
Dec 07, 2022	272.00	275.00	275.50	271.50	2.87M	-1.98%
Dec 06, 2022	277.50	281.50	281.50	275.50	2.58M	-1.94%
Dec 05, 2022	283.00	276.50	283.00	275.00	2.78M	+2.17%
Dec 02, 2022	277.00	273.00	277.00	271.00	3.42M	+2.03%
Dec 01, 2022	271.50	270.00	273.50	267.00	3.00M	+2.07%
Nov 30, 2022	266.00	267.00	269.00	265.50	8.45M	-0.37%
Nov 29, 2022	267.00	266.00	270.00	264.00	3.85M	+0.56%
Nov 28, 2022	265.50	263.00	270.00	259.00	4.31M	+0.19%
Nov 25, 2022	265.00	270.00	271.50	265.00	4.38M	-0.93%
Nov 24, 2022	267.50	267.00	270.00	266.00	3.88M	+0.94%
Nov 23, 2022	265.00	261.50	267.00	260.50	4.10M	+1.53%
Nov 22, 2022	261.00	259.00	261.50	255.00	4.14M	+1.16%
Nov 21, 2022	258.00	257.00	259.00	254.00	3.10M	+0.78%
Nov 18, 2022	256.00	253.00	256.00	252.00	1.94M	+0.79%
Nov 17, 2022	254.00	252.00	254.50	250.00	2.13M	+0.79%
